gid,one,two,three,brand,title,description,discount,price,pro_code,color,size,im
goods:00000001,男士,鞋子,运动鞋,CAR SHOE,CAR SHOE 男鞋真皮高帮健身运动鞋,Applications: no appliqués<br />Closure: laces<br />Made in Italy<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: high top sneakers<br>Materials: Nylon calfskin<br>Length of interior sole: 10.79 inch,1331,2743,KUT7311O7JF0002NERO,黑色,40.5|41|41.5|42|42.5|43|43.5,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000001/%E5%9B%BE%E7%89%871.jpg?Expires=1863222458&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=zmTKRAeJ2DnEWEEl56POYfuxWls%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000001/%E5%9B%BE%E7%89%872.jpg?Expires=1863222459&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=ftyy9Km0I5ZtY6E2mkNTyiPLQEk%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000001/%E5%9B%BE%E7%89%873.jpg?Expires=1863222460&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=wESHxaIs4T%2B1IQP%2Bxqga%2BKbYAdo%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000001/%E5%9B%BE%E7%89%874.jpg?Expires=1863222460&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=jsvAGBE7jYJKe4b11Phs9Toi5Qk%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000001/%E5%9B%BE%E7%89%875.jpg?Expires=1863222461&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=tu7IUscWhzy%2BNwMH%2FO7XZqA5Gjs%3D|
goods:00000002,男士,服装,运动衫,MOSCHINO,MOSCHINO 男士连帽休闲衫,Applications: contrasting applications  embroidered detailing<br />Characteristics: hoodie<br />Closure: zip<br />Cuffs: ribbed collar  cuffs and hem<br />Interior: lined interior<br />Pattern: solid colour<br />Pockets: two side pockets<br>Materials: 60% cotton - 31% polyester - 9% polyamide<br>,1901,4898,M311301M3677B588GRIGIO,灰色,M,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000002/%E5%9B%BE%E7%89%871.jpg?Expires=1863222461&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=OpvVM1yUpmsY96Gfn5MaZuLValo%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000002/%E5%9B%BE%E7%89%872.jpg?Expires=1863222462&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=CXh4IB2yGrjkrAnYL8Y7PeAb5L8%3D|
goods:00000003,男士,鞋子,靴子和踝靴,CHURCH'S,CHURCH'S 男士绒面真皮踝靴,Applications: elasticised gores<br />Closure: no closure<br />Fit: G<br />Heel: flat<br />Heel type: flat<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: ankle boots<br>Materials: Leather suede<br>,3270,4212,MCCARTHY681190MARRONE,棕色,43|43.5|40,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000003/%E5%9B%BE%E7%89%871.jpg?Expires=1863222462&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=dk9%2FQvwu1F7w2535dPBqttNSi8s%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000003/%E5%9B%BE%E7%89%872.jpg?Expires=1863222463&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=OC9RUxDvW8GFs3X5odyNuLUrS1c%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000003/%E5%9B%BE%E7%89%873.jpg?Expires=1863222463&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=LfRN29QsQD4Ndzzaz3v3toDXR5A%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000003/%E5%9B%BE%E7%89%874.jpg?Expires=1863222464&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=bCAbbgRRDqWtYgs01c3KJ1qw2ic%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000003/%E5%9B%BE%E7%89%875.jpg?Expires=1863222465&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=bZMRLr3%2FMJR8ZsBgva0qivsHgkw%3D|
goods:00000004,男士,鞋子,系带鞋,CHURCH'S,CHURCH'S 男士经典款绒面绑带鞋绑带正装鞋,Applications: brogue details<br />Closure: laces<br />Fit: G<br />Heel: block heel<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: lace up shoes<br>Materials: Suede<br>,3422,4408,NEWARKF0AQYMARRONE,棕色,40|42,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000004/%E5%9B%BE%E7%89%871.jpg?Expires=1863222466&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=sG32ExMdaeE77SWhWlkLxdfCLp0%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000004/%E5%9B%BE%E7%89%872.jpg?Expires=1863222466&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=RLLRRYCylvyyqs0T%2FMJdyFcKUsA%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000004/%E5%9B%BE%E7%89%873.jpg?Expires=1863222467&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=E2OSQYC4LMs5GZMkgbfdIdl4QmY%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000004/%E5%9B%BE%E7%89%874.jpg?Expires=1863222469&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=tY%2FxlAOFEP5VcdTTYRECHqyjUN8%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000004/%E5%9B%BE%E7%89%875.jpg?Expires=1863222470&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=qYpFvZTM4mXgjsEjF6n5ifRpzBY%3D|
goods:00000005,女士,鞋子,运动鞋,ASFVLT,ASFVLT 女鞋健身运动鞋,Applications: contrasting applications  embroidered detailing  leather applications  logo detail<br />Closure: laces<br />Pattern: multicolour  polka dots<br />Sole: removable insole  rubber sole<br />Toe: round towline<br />Type: sneakers<br>Materials: Leather fabric<br>,423,872,NYWSUPERSOCKSBLU,蓝色,36|37|39,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000005/%E5%9B%BE%E7%89%871.jpg?Expires=1863222470&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=LzxdhGv11G3OuBow9AkoVTuh%2B3Q%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000005/%E5%9B%BE%E7%89%872.jpg?Expires=1863222472&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=s8Wkn%2FqvmWInXsu2ffvniCIL7Rc%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000005/%E5%9B%BE%E7%89%873.jpg?Expires=1863222476&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=1O3NaT6xBoZ3owZsaks8QzvkAAI%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000005/%E5%9B%BE%E7%89%874.jpg?Expires=1863222478&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=h055UnHuHDE9gfYiRa%2FzVcPdiL0%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000005/%E5%9B%BE%E7%89%875.jpg?Expires=1863222481&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=YL2QONRo4nzkwT5fyTbmxDjpv7c%3D|
goods:00000006,男士,鞋子,系带鞋,CHURCH'S,CHURCH'S 男士经典款绒面绑带鞋绑带正装鞋,Applications: brogue details<br />Closure: laces<br />Fit: G<br />Heel: flat<br />Heel type: block heel  flat<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: heeled brogues<br>Materials: Suede<br>,2044,4212,ORBY622639BLU,蓝色,41.5|43|43.5,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000006/%E5%9B%BE%E7%89%871.jpg?Expires=1863222482&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=NPrVSzKUWGDBh77%2FOYTFf%2BbZYeQ%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000006/%E5%9B%BE%E7%89%872.jpg?Expires=1863222483&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=b8ikf6iOm4%2BaNJyT0mvfMu9E2fQ%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000006/%E5%9B%BE%E7%89%873.jpg?Expires=1863222486&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=xrS%2FlQjg3Eh29ywZ25cDL9Ot%2BPc%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000006/%E5%9B%BE%E7%89%874.jpg?Expires=1863222489&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=xBFQXj6U%2FtC8pTJL39YDy68PdOU%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000006/%E5%9B%BE%E7%89%875.jpg?Expires=1863222492&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=ksHA3ncQ1s08la8X%2BSb9BfNiuo0%3D|
goods:00000007,男士,鞋子,系带鞋,CHURCH'S,CHURCH'S 男士经典款绒面绑带鞋绑带正装鞋,Applications: brogue details<br />Closure: laces<br />Fit: G<br />Heel: flat<br />Heel type: block heel  flat<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: heeled brogues<br>Materials: Suede<br>,2044,4212,ORBY622670GRIGIO,灰色,40|41.5,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000007/%E5%9B%BE%E7%89%871.jpg?Expires=1863222492&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=KIYjEN0LJJgpvW%2BklcntuieHryw%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000007/%E5%9B%BE%E7%89%872.jpg?Expires=1863222493&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=m8IhqvR9M6n6gXGQ4LFcGQy12JM%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000007/%E5%9B%BE%E7%89%873.jpg?Expires=1863222495&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=eiDxyNVG8tvmRySNdP6YBTeMoBU%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000007/%E5%9B%BE%E7%89%874.jpg?Expires=1863222497&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=I4EC%2BNVZRpQHVutJM03fPgtZL6g%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000007/%E5%9B%BE%E7%89%875.jpg?Expires=1863222498&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=IqniV4o%2B0%2FOoCf59%2BainKdTBhEk%3D|
goods:00000008,女士,鞋子,运动鞋,ASFVLT,ASFVLT 女鞋健身运动鞋,Applications: contrasting applications  embroidered detailing  logo detail  reinforced eyelets<br />Closure: laces<br />Pattern: solid colour<br />Sole: removable insole  rubber sole<br />Toe: round towline<br />Type: sneakers<br>Materials: Nylon fabric<br>,423,872,PNFSUPERYARKNITROSA,粉色,36|37|38|39|40,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000008/%E5%9B%BE%E7%89%871.jpg?Expires=1863222499&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=hjFjRmBF98Pd%2F3GIEghoApn3qy4%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000008/%E5%9B%BE%E7%89%872.jpg?Expires=1863222499&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=kkhlrdqQAzgjHGpW1QhT7QsMHg0%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000008/%E5%9B%BE%E7%89%873.jpg?Expires=1863222501&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=1nt3BSfpUQEDGowaN1wmnvXvnhQ%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000008/%E5%9B%BE%E7%89%874.jpg?Expires=1863222502&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=0LJBICrsoQB%2B9RMj0fLgSaVkU9E%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000008/%E5%9B%BE%E7%89%875.jpg?Expires=1863222503&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=cM7QEbXbyVNZ31ppvHg1WKupcco%3D|
goods:00000009,女士,鞋子,运动鞋,ASFVLT,ASFVLT 女鞋健身运动鞋,Applications: contrasting applications  embroidered detailing  logo detail  reinforced eyelets<br />Closure: laces<br />Pattern: multicolour pattern<br />Sole: removable insole  rubber sole<br />Toe: round towline<br />Type: sneakers<br>Materials: Fabric<br>,423,872,RNWSUPERYARKNITROSSO,红色,36|37,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000009/%E5%9B%BE%E7%89%871.jpg?Expires=1863222503&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=gR8h4i69KwQIA3Ebr5SuvOoUM%2Bo%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000009/%E5%9B%BE%E7%89%872.jpg?Expires=1863222503&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=my1Jl0xVvGYuqY2MHUADVCWPNy4%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000009/%E5%9B%BE%E7%89%873.jpg?Expires=1863222506&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=EWTuZM5kEMYnVAvM3Jt5gfeFxJU%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000009/%E5%9B%BE%E7%89%874.jpg?Expires=1863222507&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=UuBuxB1lac8KoMq8WRszf1%2BLfRM%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000009/%E5%9B%BE%E7%89%875.jpg?Expires=1863222509&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=mc6jWHiBS5SCRYp2ZjmudgYSRiI%3D|
goods:00000010,男士,鞋子,沙漠靴,CHURCH'S,CHURCH'S 男士绒面皮靴踝靴,Applications: no appliqués<br />Closure: laces<br />Heel: block heel<br />Pattern: solid colour<br />Sole: rubber sole<br />Toe: round towline<br />Type: desert boots<br>Materials: Suede<br>,3470,3576,RYDER734390MARRONE,棕色,39|40.5,http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000010/%E5%9B%BE%E7%89%871.jpg?Expires=1863222509&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=AQMkhehAOO%2BkiX5xdjcrnYbmp%2BU%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000010/%E5%9B%BE%E7%89%872.jpg?Expires=1863222510&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=dfBG9a2kCFK2DTW53jtgIn8BkXU%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000010/%E5%9B%BE%E7%89%873.jpg?Expires=1863222512&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=e8btjmZv44ZohyivAoRM5sMFr8M%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000010/%E5%9B%BE%E7%89%874.jpg?Expires=1863222513&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=E60diFHMNFH5iAXPbSmaYAlrpis%3D|http://superljc.oss-cn-shenzhen.aliyuncs.com/my0039/pict/goods/goods%3A00000010/%E5%9B%BE%E7%89%875.jpg?Expires=1863222515&OSSAccessKeyId=LTAI39GscXA3TzaQ&Signature=rREMxwyqL7rcnTuCFvZZuSvcrUk%3D|
